Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    28864     0.00     0.00  docxtotxt::DocumentLoader::parsePresentationSettings(tinyxml2::XMLDocument*)
  0.00      0.00     0.00    27072     0.00     0.00  docxtotxt::BufferWriter::insertData(std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > const&, bool, bool)
  0.00      0.00     0.00    18487     0.00     0.00  docxtotxt::DocumentLoader::~DocumentLoader()
  0.00      0.00     0.00     8862     0.00     0.00  void std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >::_M_construct<wchar_t const*>(wchar_t const*, wchar_t const*, std::forward_iterator_tag)
  0.00      0.00     0.00     2321     0.00     0.00  docxtotxt::BufferWriter::convertString(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00     1196     0.00     0.00  docxtotxt::DocumentLoader::parseTextProperties(tinyxml2::XMLElement*, docxtotxt::paragraph&)
  0.00      0.00     0.00     1080     0.00     0.00  void std::vector<std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >, std::allocator<std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > > >::emplace_back<std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > >(std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >&&)
  0.00      0.00     0.00      904     0.00     0.00  void std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> >::_M_realloc_insert<docxtotxt::sheetCell&>(__gnu_cxx::__normal_iterator<docxtotxt::sheetCell*, std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> > >, docxtotxt::sheetCell&)
  0.00      0.00     0.00      697     0.00     0.00  void std::vector<std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >, std::allocator<std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > > >::emplace_back<>()
  0.00      0.00     0.00      629     0.00     0.00  std::vector<docxtotxt::tabulation, std::allocator<docxtotxt::tabulation> >::operator=(std::vector<docxtotxt::tabulation, std::allocator<docxtotxt::tabulation> > const&)
  0.00      0.00     0.00      626     0.00     0.00  docxtotxt::DocumentLoader::parseParagraph(tinyxml2::XMLElement*, docxtotxt::paragraph&)
  0.00      0.00     0.00      452     0.00     0.00  docxtotxt::BufferWriter::newLine()
  0.00      0.00     0.00      380     0.00     0.00  docxtotxt::BufferWriter::getCurrentLength() const
  0.00      0.00     0.00      336     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_erase(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*)
  0.00      0.00     0.00      301     0.00     0.00  docxtotxt::DocumentLoader::parseAppFile(tinyxml2::XMLDocument*)
  0.00      0.00     0.00      292     0.00     0.00  docxtotxt::DocParser::writeParagraph(docxtotxt::paragraph)
  0.00      0.00     0.00      284     0.00     0.00  void std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >::_M_construct<wchar_t*>(wchar_t*, wchar_t*, std::forward_iterator_tag)
  0.00      0.00     0.00      255     0.00     0.00  std::vector<docxtotxt::textBody, std::allocator<docxtotxt::textBody> >::~vector()
  0.00      0.00     0.00      231     0.00     0.00  std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> >::vector(std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> > const&)
  0.00      0.00     0.00      231     0.00     0.00  std::vector<docxtotxt::sheetCell, std::allocator<docxtotxt::sheetCell> >::~vector()
  0.00      0.00     0.00      200     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
